idx,is_inclusive,premise,question,label
1,1,Ladonna is soulless or Zachariah is numb. Zachariah is numb.,Ladonna is soulless,1
2,1,Ladonna is soulless or Zachariah is numb. Zachariah is numb.,Ladonna is not soulless,1
3,1,Ladonna is soulless or Zachariah is numb. Zachariah is numb.,Zachariah is numb,1
4,1,Ladonna is soulless or Zachariah is numb. Zachariah is numb.,Zachariah is not numb,0
5,2,Neither Ayden is not positive nor Dellie is soulless. Ayden is positive.,Ayden is positive,1
6,2,Neither Ayden is not positive nor Dellie is soulless. Ayden is positive.,Ayden is not positive,0
7,2,Neither Ayden is not positive nor Dellie is soulless. Ayden is positive.,Dellie is soulless,0
8,2,Neither Ayden is not positive nor Dellie is soulless. Ayden is positive.,Dellie is not soulless,0
9,0,Either Leroy is not obliging or Vergie is normal. Vergie is not normal.,Leroy is obliging,0
10,0,Either Leroy is not obliging or Vergie is normal. Vergie is not normal.,Leroy is not obliging,1
11,0,Either Leroy is not obliging or Vergie is normal. Vergie is not normal.,Vergie is normal,0
12,0,Either Leroy is not obliging or Vergie is normal. Vergie is not normal.,Vergie is not normal,1
13,1,Theodore is stoic or Bryan is not plain. Bryan is plain.,Theodore is stoic,1
14,1,Theodore is stoic or Bryan is not plain. Bryan is plain.,Theodore is not stoic,0
15,1,Theodore is stoic or Bryan is not plain. Bryan is plain.,Bryan is plain,1
16,1,Theodore is stoic or Bryan is not plain. Bryan is plain.,Bryan is not plain,0
17,2,Neither Leona is not serene nor Aura is not outgoing. Leona is serene.,Leona is serene,1
18,2,Neither Leona is not serene nor Aura is not outgoing. Leona is serene.,Leona is not serene,0
19,2,Neither Leona is not serene nor Aura is not outgoing. Leona is serene.,Aura is outgoing,1
20,2,Neither Leona is not serene nor Aura is not outgoing. Leona is serene.,Aura is not outgoing,0
21,1,Chalmer is not fussy or Darold is not cool. Chalmer is fussy.,Chalmer is fussy,1
22,1,Chalmer is not fussy or Darold is not cool. Chalmer is fussy.,Chalmer is not fussy,0
23,1,Chalmer is not fussy or Darold is not cool. Chalmer is fussy.,Darold is cool,0
24,1,Chalmer is not fussy or Darold is not cool. Chalmer is fussy.,Darold is not cool,1
25,1,Jose is shrewd or Blaine is not fervent. Blaine is fervent.,Jose is shrewd,1
26,1,Jose is shrewd or Blaine is not fervent. Blaine is fervent.,Jose is not shrewd,0
27,1,Jose is shrewd or Blaine is not fervent. Blaine is fervent.,Blaine is fervent,1
28,1,Jose is shrewd or Blaine is not fervent. Blaine is fervent.,Blaine is not fervent,0
29,0,Either Soren is not gluttonous or Tami is blue. Soren is gluttonous.,Soren is gluttonous,1
30,0,Either Soren is not gluttonous or Tami is blue. Soren is gluttonous.,Soren is not gluttonous,0
31,0,Either Soren is not gluttonous or Tami is blue. Soren is gluttonous.,Tami is blue,1
32,0,Either Soren is not gluttonous or Tami is blue. Soren is gluttonous.,Tami is not blue,0
33,0,Either Myrtle is watchful or Elijah is unguarded. Elijah is unguarded.,Myrtle is watchful,0
34,0,Either Myrtle is watchful or Elijah is unguarded. Elijah is unguarded.,Myrtle is not watchful,1
35,0,Either Myrtle is watchful or Elijah is unguarded. Elijah is unguarded.,Elijah is unguarded,1
36,0,Either Myrtle is watchful or Elijah is unguarded. Elijah is unguarded.,Elijah is not unguarded,0
37,0,Either Hassan is cowardly or Barbara is not sloppy. Barbara is sloppy.,Hassan is cowardly,1
38,0,Either Hassan is cowardly or Barbara is not sloppy. Barbara is sloppy.,Hassan is not cowardly,0
39,0,Either Hassan is cowardly or Barbara is not sloppy. Barbara is sloppy.,Barbara is sloppy,1
40,0,Either Hassan is cowardly or Barbara is not sloppy. Barbara is sloppy.,Barbara is not sloppy,0
41,2,Neither Dakota is nasty nor Joe is assertive. Joe is not assertive.,Dakota is nasty,0
42,2,Neither Dakota is nasty nor Joe is assertive. Joe is not assertive.,Dakota is not nasty,1
43,2,Neither Dakota is nasty nor Joe is assertive. Joe is not assertive.,Joe is assertive,0
44,2,Neither Dakota is nasty nor Joe is assertive. Joe is not assertive.,Joe is not assertive,1
45,2,Neither Cyril is not inventive nor Sally is not impetuous. Sally is impetuous.,Cyril is inventive,1
46,2,Neither Cyril is not inventive nor Sally is not impetuous. Sally is impetuous.,Cyril is not inventive,0
47,2,Neither Cyril is not inventive nor Sally is not impetuous. Sally is impetuous.,Sally is impetuous,1
48,2,Neither Cyril is not inventive nor Sally is not impetuous. Sally is impetuous.,Sally is not impetuous,0
49,0,Either Joseph is not stoic or Elsie is devoted. Elsie is not devoted.,Joseph is stoic,0
50,0,Either Joseph is not stoic or Elsie is devoted. Elsie is not devoted.,Joseph is not stoic,1
51,0,Either Joseph is not stoic or Elsie is devoted. Elsie is not devoted.,Elsie is devoted,0
52,0,Either Joseph is not stoic or Elsie is devoted. Elsie is not devoted.,Elsie is not devoted,1
53,0,Either Nathanial is emotional or Dylan is critical. Dylan is not critical.,Nathanial is emotional,1
54,0,Either Nathanial is emotional or Dylan is critical. Dylan is not critical.,Nathanial is not emotional,0
55,0,Either Nathanial is emotional or Dylan is critical. Dylan is not critical.,Dylan is critical,0
56,0,Either Nathanial is emotional or Dylan is critical. Dylan is not critical.,Dylan is not critical,1
57,0,Either Kenneth is not weak or Lynn is not gluttonous. Kenneth is weak.,Kenneth is weak,1
58,0,Either Kenneth is not weak or Lynn is not gluttonous. Kenneth is weak.,Kenneth is not weak,0
59,0,Either Kenneth is not weak or Lynn is not gluttonous. Kenneth is weak.,Lynn is gluttonous,0
60,0,Either Kenneth is not weak or Lynn is not gluttonous. Kenneth is weak.,Lynn is not gluttonous,1
61,1,Sol is not beneficent or Selma is funny. Selma is funny.,Sol is beneficent,1
62,1,Sol is not beneficent or Selma is funny. Selma is funny.,Sol is not beneficent,1
63,1,Sol is not beneficent or Selma is funny. Selma is funny.,Selma is funny,1
64,1,Sol is not beneficent or Selma is funny. Selma is funny.,Selma is not funny,0
65,0,Either Aaron is not direct or Archer is not earnest. Aaron is not direct.,Aaron is direct,0
66,0,Either Aaron is not direct or Archer is not earnest. Aaron is not direct.,Aaron is not direct,1
